Area,Age,Year at 30 June,Sex,Value,Flags
"Taranaki region","35-39 Years","2009","Female",3960,
"Taranaki region","35-39 Years","2010","Female",3910,
"Taranaki region","35-39 Years","2011","Female",3810,
"Taranaki region","35-39 Years","2012","Female",3750,
"Taranaki region","35-39 Years","2013","Female",3630,
"Taranaki region","35-39 Years","2014","Female",3480,
"Taranaki region","35-39 Years","2015","Female",3420,
"Manawatu-Wanganui region","35-39 Years","2006","Male",7250,
"Manawatu-Wanganui region","35-39 Years","2007","Male",7230,
"Manawatu-Wanganui region","35-39 Years","2008","Male",7110,
"Manawatu-Wanganui region","35-39 Years","2009","Male",6900,
"Manawatu-Wanganui region","35-39 Years","2010","Male",6780,
"Manawatu-Wanganui region","35-39 Years","2011","Male",6480,
"Manawatu-Wanganui region","35-39 Years","2012","Male",6190,
"Manawatu-Wanganui region","35-39 Years","2013","Male",6040,
"Manawatu-Wanganui region","35-39 Years","2014","Male",5910,
"Manawatu-Wanganui region","35-39 Years","2015","Male",5780,
"Manawatu-Wanganui region","35-39 Years","2006","Female",7950,
"Manawatu-Wanganui region","35-39 Years","2007","Female",7940,
"Manawatu-Wanganui region","35-39 Years","2008","Female",7760,
"Manawatu-Wanganui region","35-39 Years","2009","Female",7690,
"Manawatu-Wanganui region","35-39 Years","2010","Female",7500,
"Manawatu-Wanganui region","35-39 Years","2011","Female",7260,
"Manawatu-Wanganui region","35-39 Years","2012","Female",6860,
"Manawatu-Wanganui region","35-39 Years","2013","Female",6670,
"Manawatu-Wanganui region","35-39 Years","2014","Female",6490,
"Manawatu-Wanganui region","35-39 Years","2015","Female",6370,
"Otago region","35-39 Years","2006","Male",6470,
"Otago region","35-39 Years","2007","Male",6600,
"Otago region","35-39 Years","2008","Male",6780,
"Otago region","35-39 Years","2009","Male",6710,
"Otago region","35-39 Years","2010","Male",6650,
"Otago region","35-39 Years","2011","Male",6460,
"Otago region","35-39 Years","2012","Male",6160,
"Otago region","35-39 Years","2013","Male",5900,
"Otago region","35-39 Years","2014","Male",5780,
"Otago region","35-39 Years","2015","Male",5790,
"Otago region","35-39 Years","2006","Female",7020,
"Otago region","35-39 Years","2007","Female",7180,
"Otago region","35-39 Years","2008","Female",7230,
"Otago region","35-39 Years","2009","Female",7140,
"Otago region","35-39 Years","2010","Female",7040,
"Otago region","35-39 Years","2011","Female",6890,
"Otago region","35-39 Years","2012","Female",6570,
"Otago region","35-39 Years","2013","Female",6440,
"Otago region","35-39 Years","2014","Female",6400,
"Otago region","35-39 Years","2015","Female",6340,
"Southland region","35-39 Years","2006","Male",3120,
"Southland region","35-39 Years","2007","Male",3080,
"Southland region","35-39 Years","2008","Male",3100,
"Southland region","35-39 Years","2009","Male",3060,
"Southland region","35-39 Years","2010","Male",3050,
"Southland region","35-39 Years","2011","Male",2910,
"Southland region","35-39 Years","2012","Male",2890,
"Southland region","35-39 Years","2013","Male",2900,
"Southland region","35-39 Years","2014","Male",2880,
"Southland region","35-39 Years","2015","Male",2890,
"Southland region","35-39 Years","2006","Female",3350,
"Southland region","35-39 Years","2007","Female",3330,
"Southland region","35-39 Years","2008","Female",3290,
"Southland region","35-39 Years","2009","Female",3260,
"Southland region","35-39 Years","2010","Female",3240,
"Southland region","35-39 Years","2011","Female",3150,
"Southland region","35-39 Years","2012","Female",3040,
"Southland region","35-39 Years","2013","Female",3030,
"Southland region","35-39 Years","2014","Female",2940,
"Southland region","35-39 Years","2015","Female",2890,
"Northland region","40-44 Years","2006","Male",5350,
"Northland region","40-44 Years","2007","Male",5330,
"Northland region","40-44 Years","2008","Male",5190,
"Northland region","40-44 Years","2009","Male",5140,
"Northland region","40-44 Years","2010","Male",5140,
"Northland region","40-44 Years","2011","Male",5120,
"Northland region","40-44 Years","2012","Male",5010,
"Northland region","40-44 Years","2013","Male",4930,
"Northland region","40-44 Years","2014","Male",4780,
"Northland region","40-44 Years","2015","Male",4640,
"Northland region","40-44 Years","2006","Female",5970,
"Northland region","40-44 Years","2007","Female",5900,
"Northland region","40-44 Years","2008","Female",5780,
"Northland region","40-44 Years","2009","Female",5760,
"Northland region","40-44 Years","2010","Female",5680,
"Northland region","40-44 Years","2011","Female",5740,
"Northland region","40-44 Years","2012","Female",5680,
"Northland region","40-44 Years","2013","Female",5620,
"Northland region","40-44 Years","2014","Female",5470,
"Northland region","40-44 Years","2015","Female",5400,
"Auckland region","40-44 Years","2006","Male",53510,
"Auckland region","40-44 Years","2007","Male",53240,
"Auckland region","40-44 Years","2008","Male",52780,
"Auckland region","40-44 Years","2009","Male",52170,
"Auckland region","40-44 Years","2010","Male",52030,
"Auckland region","40-44 Years","2011","Male",52090,
"Auckland region","40-44 Years","2012","Male",52510,
"Auckland region","40-44 Years","2013","Male",52100,
"Auckland region","40-44 Years","2014","Male",51820,
"Auckland region","40-44 Years","2015","Male",51380,
"Auckland region","40-44 Years","2006","Female",56540,
"Auckland region","40-44 Years","2007","Female",56530,
"Auckland region","40-44 Years","2008","Female",56310,
"Auckland region","40-44 Years","2009","Female",56660,
"Auckland region","40-44 Years","2010","Female",56820,
"Auckland region","40-44 Years","2011","Female",57630,
"Auckland region","40-44 Years","2012","Female",58340,
"Auckland region","40-44 Years","2013","Female",58280,
"Auckland region","40-44 Years","2014","Female",57730,
"Auckland region","40-44 Years","2015","Female",57010,
"Waikato region","40-44 Years","2006","Male",13920,
"Waikato region","40-44 Years","2007","Male",13760,
"Waikato region","40-44 Years","2008","Male",13660,
"Waikato region","40-44 Years","2009","Male",13700,
"Waikato region","40-44 Years","2010","Male",13720,
"Waikato region","40-44 Years","2011","Male",13870,
"Waikato region","40-44 Years","2012","Male",13910,
"Waikato region","40-44 Years","2013","Male",13820,
"Waikato region","40-44 Years","2014","Male",13660,
"Waikato region","40-44 Years","2015","Male",13460,
"Waikato region","40-44 Years","2006","Female",14990,
"Waikato region","40-44 Years","2007","Female",14810,
"Waikato region","40-44 Years","2008","Female",14720,
"Waikato region","40-44 Years","2009","Female",14740,
"Waikato region","40-44 Years","2010","Female",14940,
"Waikato region","40-44 Years","2011","Female",15270,
"Waikato region","40-44 Years","2012","Female",15330,
"Waikato region","40-44 Years","2013","Female",15260,
"Waikato region","40-44 Years","2014","Female",15090,
"Waikato region","40-44 Years","2015","Female",14840,
"Bay of Plenty region","40-44 Years","2006","Male",9340,
"Bay of Plenty region","40-44 Years","2007","Male",9030,
"Bay of Plenty region","40-44 Years","2008","Male",8820,
"Bay of Plenty region","40-44 Years","2009","Male",8730,
"Bay of Plenty region","40-44 Years","2010","Male",8730,
"Bay of Plenty region","40-44 Years","2011","Male",8800,
"Bay of Plenty region","40-44 Years","2012","Male",8810,
"Bay of Plenty region","40-44 Years","2013","Male",8830,
"Bay of Plenty region","40-44 Years","2014","Male",8750,
"Bay of Plenty region","40-44 Years","2015","Male",8670,
"Bay of Plenty region","40-44 Years","2006","Female",10360,
"Bay of Plenty region","40-44 Years","2007","Female",10160,
"Bay of Plenty region","40-44 Years","2008","Female",10060,
"Bay of Plenty region","40-44 Years","2009","Female",10040,
"Bay of Plenty region","40-44 Years","2010","Female",10150,
"Bay of Plenty region","40-44 Years","2011","Female",10210,
"Bay of Plenty region","40-44 Years","2012","Female",10150,
"Bay of Plenty region","40-44 Years","2013","Female",10150,
"Bay of Plenty region","40-44 Years","2014","Female",10030,
"Bay of Plenty region","40-44 Years","2015","Female",9890,
"Gisborne region","40-44 Years","2006","Male",1560,
"Gisborne region","40-44 Years","2007","Male",1510,
"Gisborne region","40-44 Years","2008","Male",1460,
"Gisborne region","40-44 Years","2009","Male",1420,
"Gisborne region","40-44 Years","2010","Male",1400,
"Gisborne region","40-44 Years","2011","Male",1410,
"Gisborne region","40-44 Years","2012","Male",1400,
"Gisborne region","40-44 Years","2013","Male",1420,
"Gisborne region","40-44 Years","2014","Male",1410,
"Gisborne region","40-44 Years","2015","Male",1410,
"Gisborne region","40-44 Years","2006","Female",1710,
"Gisborne region","40-44 Years","2007","Female",1640,
"Gisborne region","40-44 Years","2008","Female",1620,
"Gisborne region","40-44 Years","2009","Female",1640,
"Gisborne region","40-44 Years","2010","Female",1650,
"Gisborne region","40-44 Years","2011","Female",1650,
"Gisborne region","40-44 Years","2012","Female",1670,
"Gisborne region","40-44 Years","2013","Female",1640,
"Gisborne region","40-44 Years","2014","Female",1620,
"Gisborne region","40-44 Years","2015","Female",1570,
"Hawke's Bay region","40-44 Years","2006","Male",5400,
"Hawke's Bay region","40-44 Years","2007","Male",5290,
"Hawke's Bay region","40-44 Years","2008","Male",5120,
"Hawke's Bay region","40-44 Years","2009","Male",5060,
"Hawke's Bay region","40-44 Years","2010","Male",5070,
"Hawke's Bay region","40-44 Years","2011","Male",5070,
"Hawke's Bay region","40-44 Years","2012","Male",5020,
"Hawke's Bay region","40-44 Years","2013","Male",5040,
"Hawke's Bay region","40-44 Years","2014","Male",4970,
"Hawke's Bay region","40-44 Years","2015","Male",4780,
"Hawke's Bay region","40-44 Years","2006","Female",6000,
"Hawke's Bay region","40-44 Years","2007","Female",5800,
"Hawke's Bay region","40-44 Years","2008","Female",5640,
"Hawke's Bay region","40-44 Years","2009","Female",5510,
"Hawke's Bay region","40-44 Years","2010","Female",5520,
"Hawke's Bay region","40-44 Years","2011","Female",5640,
"Hawke's Bay region","40-44 Years","2012","Female",5740,
"Hawke's Bay region","40-44 Years","2013","Female",5770,
"Hawke's Bay region","40-44 Years","2014","Female",5740,
"Hawke's Bay region","40-44 Years","2015","Female",5710,
"Taranaki region","40-44 Years","2006","Male",3940,
"Taranaki region","40-44 Years","2007","Male",3820,
"Taranaki region","40-44 Years","2008","Male",3730,
"Taranaki region","40-44 Years","2009","Male",3660,
"Taranaki region","40-44 Years","2010","Male",3690,
"Taranaki region","40-44 Years","2011","Male",3820,
"Taranaki region","40-44 Years","2012","Male",3800,
"Taranaki region","40-44 Years","2013","Male",3830,
"Taranaki region","40-44 Years","2014","Male",3760,
"Taranaki region","40-44 Years","2015","Male",3720,
"Taranaki region","40-44 Years","2006","Female",4070,
"Taranaki region","40-44 Years","2007","Female",3990,
"Taranaki region","40-44 Years","2008","Female",3870,
"Taranaki region","40-44 Years","2009","Female",3880,
"Taranaki region","40-44 Years","2010","Female",3960,
"Taranaki region","40-44 Years","2011","Female",4040,
"Taranaki region","40-44 Years","2012","Female",4060,
"Taranaki region","40-44 Years","2013","Female",4090,
"Taranaki region","40-44 Years","2014","Female",4180,
"Taranaki region","40-44 Years","2015","Female",4100,
"Manawatu-Wanganui region","40-44 Years","2006","Male",8030,
"Manawatu-Wanganui region","40-44 Years","2007","Male",7780,
"Manawatu-Wanganui region","40-44 Years","2008","Male",7490,
"Manawatu-Wanganui region","40-44 Years","2009","Male",7320,
"Manawatu-Wanganui region","40-44 Years","2010","Male",7170,
"Manawatu-Wanganui region","40-44 Years","2011","Male",7150,
"Manawatu-Wanganui region","40-44 Years","2012","Male",7090,
"Manawatu-Wanganui region","40-44 Years","2013","Male",6960,
"Manawatu-Wanganui region","40-44 Years","2014","Male",6770,
"Manawatu-Wanganui region","40-44 Years","2015","Male",6680,
"Manawatu-Wanganui region","40-44 Years","2006","Female",8620,
"Manawatu-Wanganui region","40-44 Years","2007","Female",8390,
"Manawatu-Wanganui region","40-44 Years","2008","Female",8150,
"Manawatu-Wanganui region","40-44 Years","2009","Female",7980,
"Manawatu-Wanganui region","40-44 Years","2010","Female",7890,
"Manawatu-Wanganui region","40-44 Years","2011","Female",7910,
"Manawatu-Wanganui region","40-44 Years","2012","Female",7900,
"Manawatu-Wanganui region","40-44 Years","2013","Female",7670,
"Manawatu-Wanganui region","40-44 Years","2014","Female",7620,
"Manawatu-Wanganui region","40-44 Years","2015","Female",7420,
"Otago region","40-44 Years","2006","Male",7060,
"Otago region","40-44 Years","2007","Male",6870,
"Otago region","40-44 Years","2008","Male",6650,
"Otago region","40-44 Years","2009","Male",6610,
"Otago region","40-44 Years","2010","Male",6550,
"Otago region","40-44 Years","2011","Male",6650,
"Otago region","40-44 Years","2012","Male",6740,
"Otago region","40-44 Years","2013","Male",6860,
"Otago region","40-44 Years","2014","Male",6780,
"Otago region","40-44 Years","2015","Male",6760,
"Otago region","40-44 Years","2006","Female",7430,
"Otago region","40-44 Years","2007","Female",7270,
"Otago region","40-44 Years","2008","Female",7230,
"Otago region","40-44 Years","2009","Female",7140,
"Otago region","40-44 Years","2010","Female",7200,
"Otago region","40-44 Years","2011","Female",7350,
"Otago region","40-44 Years","2012","Female",7440,
"Otago region","40-44 Years","2013","Female",7440,
"Otago region","40-44 Years","2014","Female",7320,
"Otago region","40-44 Years","2015","Female",7150,
"Southland region","40-44 Years","2006","Male",3640,
"Southland region","40-44 Years","2007","Male",3480,
"Southland region","40-44 Years","2008","Male",3330,
"Southland region","40-44 Years","2009","Male",3220,
"Southland region","40-44 Years","2010","Male",3090,
"Southland region","40-44 Years","2011","Male",3160,
"Southland region","40-44 Years","2012","Male",3130,
"Southland region","40-44 Years","2013","Male",3140,
"Southland region","40-44 Years","2014","Male",3060,
