"Permanent & long-term migration by age, sex and NZ area (Annual-Dec)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Arrivals","","","","","","","","","","","","","","","","","","","","","","","",""
" "," ","75 years and over",2,2,2,2,3,4,2,2,4,1,5,0,4,2,1,1,1,2,2,1,2,3,2,7,6
" ","Tararua District","0-4 years",3,2,2,2,9,5,1,7,1,3,1,5,5,9,1,7,4,9,3,3,6,1,5,4,5
" "," ","5-9 years",2,3,1,2,5,6,6,1,1,4,4,5,3,2,3,5,4,4,1,0,3,4,2,2,4
" "," ","10-14 years",2,5,5,6,3,8,7,5,5,1,5,10,1,6,4,3,2,2,1,0,3,1,3,3,8
" "," ","15-19 years",5,9,6,11,12,8,7,9,8,9,8,10,9,7,5,1,9,4,5,5,10,3,4,3,7
" "," ","20-24 years",27,22,20,8,14,8,9,11,8,8,10,11,5,6,15,6,9,10,8,5,4,5,6,6,5
" "," ","25-29 years",19,14,15,15,25,20,20,15,13,19,18,14,20,18,16,12,11,9,19,14,10,7,14,9,7
" "," ","30-34 years",6,9,4,9,7,5,4,5,5,4,8,9,10,7,5,9,4,7,5,6,5,7,4,11,4
" "," ","35-39 years",6,3,5,6,10,6,4,4,2,0,5,5,6,6,3,5,4,5,3,3,5,1,2,2,6
" "," ","40-44 years",0,1,0,3,6,1,5,0,2,4,6,5,7,4,8,1,4,2,4,3,3,1,5,3,5
" "," ","45-49 years",1,0,5,4,4,1,2,3,1,0,0,3,3,5,2,3,3,2,1,1,2,1,1,3,2
" "," ","50-54 years",2,2,2,1,0,1,0,4,1,0,0,3,2,1,0,1,4,0,4,3,2,2,1,2,4
" "," ","55-59 years",0,1,0,1,0,3,2,1,4,0,0,1,1,1,1,3,3,2,0,1,3,1,3,1,3
" "," ","60-64 years",1,1,0,0,0,0,0,0,1,1,0,2,0,2,0,1,1,1,1,2,3,1,2,2,2
" "," ","65-69 years",0,1,0,0,0,0,0,1,0,0,1,0,1,2,1,0,1,0,0,0,1,1,1,3,3
" "," ","70-74 years",0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
" "," ","75 years and over",0,0,0,2,0,4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
" ","Horowhenua District","0-4 years",7,6,15,14,6,11,8,6,1,12,4,5,7,12,11,13,13,6,9,9,13,5,13,11,20
" "," ","5-9 years",5,3,12,12,5,4,7,9,5,7,5,9,7,7,12,10,12,10,6,5,7,7,9,6,13
" "," ","10-14 years",7,1,6,7,5,11,4,1,4,8,5,12,9,7,12,4,3,4,5,5,5,8,8,5,4
" "," ","15-19 years",7,8,11,12,9,11,6,10,20,14,18,18,13,11,12,7,15,15,11,17,15,19,11,15,14
" "," ","20-24 years",21,18,11,8,9,18,18,18,11,11,11,11,8,15,7,21,13,19,10,9,14,6,15,10,10
" "," ","25-29 years",30,20,20,17,17,25,21,12,20,19,27,22,23,16,18,9,10,19,12,16,22,13,20,16,14
" "," ","30-34 years",15,8,15,17,13,13,17,9,13,9,13,12,20,25,20,22,22,25,10,11,10,11,14,8,14
" "," ","35-39 years",7,7,13,11,6,10,14,12,5,14,7,9,7,14,15,9,11,10,10,16,5,8,3,15,6
" "," ","40-44 years",7,2,2,9,4,5,4,3,3,6,8,7,10,6,12,6,10,8,8,4,4,8,10,9,16
" "," ","45-49 years",0,0,2,2,9,4,4,2,7,1,7,2,3,3,4,8,6,8,3,6,8,3,4,9,6
" "," ","50-54 years",3,7,4,4,2,4,2,5,5,3,4,4,2,3,6,5,4,3,3,4,4,4,4,4,6
" "," ","55-59 years",0,0,1,2,2,2,3,1,1,2,3,6,5,2,1,3,7,5,2,3,2,8,7,6,7
" "," ","60-64 years",3,2,0,1,1,0,2,3,2,0,3,1,1,2,2,3,2,1,3,6,5,5,7,6,6
" "," ","65-69 years",1,0,0,0,1,2,3,3,0,1,0,2,0,2,0,4,5,5,0,6,1,2,5,6,7
" "," ","70-74 years",0,0,2,0,2,0,0,1,1,0,0,0,1,1,0,1,2,1,1,3,2,0,3,2,3
" "," ","75 years and over",0,1,1,1,2,1,1,2,0,0,3,1,0,1,0,1,0,2,2,2,1,1,1,1,3
" ","Kapiti Coast District","0-4 years",18,18,12,9,12,17,17,15,14,17,12,14,13,16,30,28,30,31,24,15,21,11,18,19,18
" "," ","5-9 years",9,10,5,8,10,10,13,8,13,13,14,14,12,18,16,22,13,25,20,20,17,11,12,11,12
" "," ","10-14 years",8,10,6,6,16,11,5,13,10,9,7,11,14,13,21,17,19,18,20,11,6,11,14,10,20
" "," ","15-19 years",17,16,13,20,14,14,11,5,6,16,18,20,20,23,14,16,19,23,20,20,14,22,16,20,30
" "," ","20-24 years",28,22,14,28,18,24,19,20,25,12,18,26,25,16,21,19,27,22,24,16,12,21,16,30,23
" "," ","25-29 years",39,26,35,35,41,41,34,36,42,39,48,35,42,43,36,40,39,21,50,30,28,33,31,32,42
" "," ","30-34 years",23,35,24,23,27,30,30,23,25,23,32,31,37,39,48,42,30,33,21,30,30,25,25,25,30
" "," ","35-39 years",20,8,9,9,17,16,20,22,16,27,17,23,31,38,29,23,32,33,31,20,25,16,11,19,18
" "," ","40-44 years",11,14,9,10,13,11,11,6,12,10,18,19,19,20,19,19,19,18,15,17,15,17,22,14,21
" "," ","45-49 years",9,11,9,11,14,12,9,10,9,4,8,7,9,11,7,22,13,15,13,11,7,14,8,11,12
" "," ","50-54 years",1,3,7,5,4,9,4,4,8,7,9,8,6,3,11,11,11,5,8,9,10,8,12,9,11
" "," ","55-59 years",6,2,3,2,1,5,5,2,3,4,6,8,12,9,6,6,5,11,8,9,13,6,5,10,12
" "," ","60-64 years",4,6,7,4,1,7,5,4,8,9,3,8,4,7,4,7,9,8,10,7,10,6,10,11,7
" "," ","65-69 years",3,3,4,1,0,0,2,2,0,1,2,2,3,4,6,3,3,4,7,7,6,10,9,6,6
" "," ","70-74 years",0,1,1,0,1,2,2,3,2,1,2,2,1,3,0,0,2,1,1,2,1,3,4,9,5
" "," ","75 years and over",1,1,2,1,4,0,2,0,0,3,2,5,1,0,3,0,5,2,2,1,2,4,3,5,2
" ","Porirua City","0-4 years",20,15,12,13,20,22,17,25,18,21,12,19,11,26,13,19,18,16,22,15,34,23,19,27,23
" "," ","5-9 years",13,9,10,13,16,21,19,13,9,19,20,22,11,12,18,18,17,13,19,19,13,12,23,12,23
" "," ","10-14 years",12,9,9,7,18,17,12,16,10,9,15,16,14,16,12,21,12,12,16,7,23,17,10,17,14
" "," ","15-19 years",33,20,42,49,52,54,44,37,42,37,46,32,48,27,21,28,31,36,32,21,20,17,23,18,19
" "," ","20-24 years",37,17,31,31,29,28,23,31,24,34,21,24,17,34,27,26,18,25,33,31,29,28,29,34,38
" "," ","25-29 years",31,42,37,27,34,37,23,32,43,44,43,34,29,35,34,28,21,25,36,42,35,28,25,35,41
" "," ","30-34 years",28,30,16,18,29,31,25,17,27,15,21,23,29,40,27,27,33,22,30,25,24,21,23,24,32
" "," ","35-39 years",13,16,18,12,19,13,18,15,12,21,25,15,20,14,19,25,26,27,15,18,20,12,22,21,32
" "," ","40-44 years",14,11,9,7,22,14,12,14,10,6,14,10,16,20,9,18,17,11,12,15,11,19,10,20,15
" "," ","45-49 years",7,3,5,5,13,8,9,6,2,8,5,8,8,11,7,10,8,8,4,7,4,11,8,7,13
" "," ","50-54 years",5,5,4,4,1,4,3,1,4,6,10,4,7,8,6,5,5,5,5,4,10,10,13,6,9
" "," ","55-59 years",9,2,7,2,3,5,5,2,5,5,5,3,7,6,6,8,10,7,3,11,9,10,6,7,9
" "," ","60-64 years",4,3,5,4,2,5,2,1,4,4,3,2,6,3,4,6,4,5,9,8,5,6,9,10,7
" "," ","65-69 years",2,3,7,1,4,7,6,5,0,4,6,5,6,5,8,3,1,7,7,2,5,6,7,8,6
" "," ","70-74 years",1,2,0,2,2,3,2,2,2,2,3,4,3,0,2,2,1,1,1,0,1,2,4,6,4
" "," ","75 years and over",2,1,0,0,3,0,2,0,0,2,2,3,0,1,2,0,0,2,4,3,0,2,2,1,2
" ","Upper Hutt City","0-4 years",15,14,9,6,12,7,6,12,10,10,15,10,17,7,14,19,19,18,12,8,15,12,14,21,13
" "," ","5-9 years",10,6,6,7,8,9,17,7,5,10,14,9,10,17,8,16,10,16,8,2,13,9,14,13,12
" "," ","10-14 years",6,7,7,6,7,5,7,9,11,8,11,13,7,7,11,8,11,13,9,8,11,5,8,11,19
" "," ","15-19 years",15,17,14,15,13,12,27,15,16,13,18,15,12,15,13,18,16,20,19,21,15,9,14,14,24
" "," ","20-24 years",19,18,23,16,16,18,13,12,10,24,21,14,21,14,22,18,22,18,22,17,17,8,9,24,19
" "," ","25-29 years",63,35,24,26,26,28,27,27,18,37,46,27,43,28,20,34,20,16,20,19,22,16,14,28,23
" "," ","30-34 years",19,23,20,24,16,19,26,19,23,24,23,35,30,27,15,24,24,14,25,15,13,21,16,18,24
" "," ","35-39 years",10,5,15,7,10,20,14,24,17,10,23,20,20,16,17,16,28,15,10,11,13,16,16,12,13
" "," ","40-44 years",12,7,2,9,8,16,10,6,10,9,15,10,14,16,11,23,14,12,11,7,15,11,12,18,10
" "," ","45-49 years",2,4,7,5,6,4,6,8,5,4,7,11,5,4,2,8,8,14,5,15,8,8,10,11,13
" "," ","50-54 years",0,2,4,3,2,2,5,3,4,2,8,5,4,9,3,7,8,9,8,9,3,4,8,9,8
" "," ","55-59 years",3,2,4,3,1,2,3,6,6,4,3,3,4,8,3,3,6,5,7,8,7,8,5,6,9
" "," ","60-64 years",3,6,3,0,3,1,2,2,6,0,5,1,1,6,0,3,1,3,5,6,3,4,5,8,5
" "," ","65-69 years",2,0,0,2,0,1,1,2,0,0,0,1,3,1,3,1,1,2,0,1,4,3,2,4,3
" "," ","70-74 years",1,1,0,1,1,0,1,1,3,1,0,3,1,0,0,1,4,1,2,0,1,1,1,3,1
" "," ","75 years and over",0,0,3,1,1,1,1,1,0,1,0,0,1,0,1,0,2,3,0,1,0,0,0,1,1
" ","Lower Hutt City","0-4 years",40,27,41,30,47,45,33,22,36,40,48,35,26,36,46,41,43,49,37,42,43,44,50,41,64
" "," ","5-9 years",21,25,19,36,41,39,40,27,31,37,31,41,27,32,24,43,38,34,41,39,28,30,35,30,34
" "," ","10-14 years",28,18,24,33,29,33,29,26,26,27,29,27,28,25,25,29,19,25,33,35,25,22,29,24,26
" "," ","15-19 years",50,30,35,40,30,36,28,35,27,35,43,48,44,41,31,30,24,28,53,38,43,44,41,46,45
" "," ","20-24 years",55,50,39,38,40,40,46,40,37,31,36,40,59,42,42,26,45,52,71,64,66,66,85,78,90
" "," ","25-29 years",118,93,81,79,93,75,77,69,90,78,71,114,81,97,58,73,47,59,89,67,46,70,72,87,117
" "," ","30-34 years",74,45,69,60,68,72,68,39,50,52,58,72,58,61,65,54,58,67,69,73,51,58,68,66,76
" "," ","35-39 years",40,26,33,48,55,48,44,41,40,37,45,39,41,54,47,56,52,46,48,41,38,43,37,44,69
" "," ","40-44 years",34,27,21,38,33,30,35,29,24,29,32,45,32,32,30,33,35,31,22,29,29,24,38,42,38
" "," ","45-49 years",15,16,16,20,19,26,25,25,15,16,18,20,24,23,17,21,24,16,31,22,27,28,13,30,18
" "," ","50-54 years",11,16,9,12,19,15,13,12,13,15,20,16,16,7,19,13,9,9,11,17,18,23,10,18,25
" "," ","55-59 years",10,4,7,10,9,16,10,11,10,14,18,8,9,14,5,12,14,11,13,17,10,20,18,23,23
" "," ","60-64 years",13,4,4,7,7,10,9,11,8,8,6,10,10,13,12,9,12,8,24,11,16,15,17,16,16
" "," ","65-69 years",2,3,5,3,3,7,5,4,7,5,2,5,6,6,5,9,13,7,11,8,9,5,5,11,13
" "," ","70-74 years",5,2,1,1,3,6,4,7,4,5,1,4,5,4,4,5,3,4,5,2,8,3,2,5,7
" "," ","75 years and over",1,2,5,2,5,5,2,6,2,1,5,5,4,5,0,5,4,0,5,6,1,0,4,3,7
" ","Wellington City","0-4 years",128,110,118,152,188,171,142,137,120,114,139,151,170,148,201,205,174,208,167,146,162,129,185,158,192
" "," ","5-9 years",116,75,108,129,164,119,91,113,106,98,148,137,146,111,140,163,180,160,112,111,104,101,98,118,133
" "," ","10-14 years",76,95,99,112,117,111,101,87,86,116,124,94,125,112,133,133,126,152,103,92,83,87,86,66,118
" "," ","15-19 years",118,116,152,157,169,165,146,115,149,179,233,254,223,198,185,174,197,184,175,176,188,189,161,144,217
" "," ","20-24 years",221,186,180,193,209,212,183,188,155,196,261,337,393,261,286,285,244,340,285,309,319,296,308,339,451
" "," ","25-29 years",362,356,326,354,407,387,352,294,339,341,421,387,441,355,370,419,419,493,445,428,432,403,462,430,538
" "," ","30-34 years",280,263,256,293,351,337,260,237,268,287,266,310,347,333,337,366,384,395,348,297,337,294,355,386,417
" "," ","35-39 years",171,208,162,217,231,250,198,184,167,162,208,195,255,211,269,297,288,315,228,224,243,183,201,193,251
" "," ","40-44 years",148,113,122,151,150,148,148,128,143,115,157,153,161,166,175,218,195,202,136,166,156,136,143,159,168
" "," ","45-49 years",86,84,96,114,111,121,102,70,72,84,103,107,99,107,125,113,116,143,111,94,121,98,108,82,93
" "," ","50-54 years",66,67,53,68,83,74,86,73,53,60,77,79,69,72,69,90,83,81,75,76,51,71,67,70,84
" "," ","55-59 years",40,38,43,44,49,46,64,60,50,37,50,56,52,39,68,65,73,60,61,57,59,60,62,54,73
" "," ","60-64 years",27,21,32,19,16,41,30,29,33,29,33,35,29,20,30,39,34,46,55,42,43,44,55,66,64
" "," ","65-69 years",13,12,23,13,20,20,21,19,22,16,18,27,18,18,23,26,18,24,29,27,28,23,23,39,30
" "," ","70-74 years",9,5,2,11,12,11,7,14,9,7,13,15,14,8,9,10,14,12,18,17,9,17,11,19,18
" "," ","75 years and over",4,7,3,6,10,7,8,3,9,13,15,6,13,8,8,11,9,13,14,14,13,10,10,11,11
" ","Masterton District","0-4 years",5,15,9,8,13,10,4,5,6,8,3,9,10,13,9,11,8,7,10,7,10,11,3,8,12
" "," ","5-9 years",10,4,9,7,7,9,12,4,4,6,7,7,7,6,14,8,9,10,8,7,6,5,8,3,9
" "," ","10-14 years",4,9,1,5,6,8,8,9,2,9,9,9,8,4,7,7,3,9,7,4,4,7,6,5,5
" "," ","15-19 years",12,17,11,18,20,13,14,23,12,19,20,17,16,11,12,9,6,14,10,10,9,6,9,14,10
" "," ","20-24 years",13,16,13,9,16,15,7,9,20,12,30,15,13,8,12,10,11,9,15,11,12,12,12,12,13
" "," ","25-29 years",25,21,19,24,20,22,26,10,25,27,45,25,30,22,16,17,21,21,15,25,10,13,17,20,21
" "," ","30-34 years",15,16,12,19,12,8,16,10,13,8,18,23,23,18,21,17,11,15,24,11,15,8,11,15,17
" "," ","35-39 years",9,10,6,14,10,16,10,15,5,9,5,19,16,13,11,15,6,15,9,9,5,7,9,14,7
" "," ","40-44 years",4,5,2,5,7,6,5,4,5,3,4,10,11,4,15,8,7,9,8,5,6,5,5,7,7
" "," ","45-49 years",2,4,2,2,1,6,1,3,6,2,4,6,7,3,3,10,8,7,8,6,6,7,4,4,3
" "," ","50-54 years",0,0,4,2,1,5,1,2,2,2,2,4,3,3,3,5,3,2,2,3,3,6,0,5,3
" "," ","55-59 years",0,3,3,3,0,2,1,0,0,3,2,3,1,1,1,1,0,4,0,2,1,4,5,6,3
" "," ","60-64 years",1,0,0,1,0,0,0,1,1,2,2,1,2,4,1,2,5,3,3,2,4,1,1,6,2
" "," ","65-69 years",1,0,0,0,2,2,1,0,1,2,3,1,1,5,0,1,0,0,2,6,0,4,1,0,1
" "," ","70-74 years",0,0,0,1,0,2,1,1,0,1,1,1,0,0,4,1,1,1,0,1,0,0,0,0,2
" "," ","75 years and over",0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,3
" ","Carterton District","0-4 years",0,1,3,1,1,0,1,1,1,3,5,3,3,0,6,3,2,2,0,7,1,2,2,3,4
" "," ","5-9 years",2,0,1,2,1,1,2,1,1,2,1,2,4,1,2,1,3,1,0,2,2,0,0,4,0
" "," ","10-14 years",0,0,0,0,1,0,2,1,2,2,1,3,1,1,0,1,1,1,0,2,1,0,0,2,3
" "," ","15-19 years",0,0,1,2,1,1,0,0,0,3,1,2,1,0,1,0,0,0,1,1,1,0,0,4,0
" "," ","20-24 years",3,1,6,0,1,3,5,3,5,1,6,3,4,4,2,3,2,2,5,3,4,6,2,0,4
" "," ","25-29 years",4,2,1,6,2,7,5,2,4,4,6,3,6,1,8,4,3,3,6,4,5,5,6,6,6
" "," ","30-34 years",1,2,2,4,3,2,3,2,0,1,1,2,4,4,4,2,1,3,3,4,3,3,1,5,2
" "," ","35-39 years",3,2,0,0,3,0,1,0,4,2,3,0,2,2,6,1,0,2,0,3,3,2,3,4,2
" "," ","40-44 years",2,0,2,0,2,0,2,0,2,3,1,1,0,0,0,2,0,2,3,4,1,4,0,2,3
" "," ","45-49 years",2,1,1,1,1,1,1,0,1,0,1,2,1,1,1,0,0,0,2,1,0,0,3,3,1
" "," ","50-54 years",1,1,0,1,0,1,0,0,1,1,2,1,1,1,0,0,0,1,0,1,0,0,1,2,1
" "," ","55-59 years",3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,1,0,1,1,1,0,1,1,0
" "," ","60-64 years",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,1,0,0,2,3,0
" "," ","65-69 years",0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,2,0,3,0,1,0,0,2,1
" "," ","70-74 years",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
" "," ","75 years and over",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
" ","South Wairarapa District","0-4 years",5,0,4,2,2,6,2,1,2,3,1,3,6,5,1,2,3,3,5,11,1,4,4,4,5
" "," ","5-9 years",0,1,1,1,2,0,0,2,2,2,2,2,1,3,2,0,0,4,1,5,0,2,2,6,1
" "," ","10-14 years",1,3,2,2,2,0,4,2,1,0,2,0,2,0,2,1,1,1,2,3,0,3,1,2,1
" "," ","15-19 years",4,2,3,3,6,1,2,0,4,3,1,5,1,3,2,3,0,2,3,2,1,1,1,1,2
" "," ","20-24 years",9,4,6,8,2,8,5,7,9,4,5,8,4,4,7,3,2,5,5,6,3,6,8,7,7
" "," ","25-29 years",11,7,9,4,13,8,10,12,8,10,12,14,8,4,8,11,10,4,11,4,6,6,5,7,5
" "," ","30-34 years",6,2,3,7,2,8,4,2,3,6,5,6,9,8,8,3,5,10,10,5,4,2,7,4,5
" "," ","35-39 years",4,2,5,1,6,3,1,4,1,1,4,3,5,3,8,5,3,2,6,9,4,7,4,5,7
" "," ","40-44 years",2,1,2,2,1,2,1,3,2,1,1,1,2,1,3,4,2,4,2,1,0,2,3,2,2
" "," ","45-49 years",1,1,0,1,0,2,0,1,2,0,1,4,0,4,3,3,1,1,3,1,2,1,2,7,1
" "," ","50-54 years",0,0,0,0,0,2,1,0,2,1,4,2,1,1,2,3,0,2,2,1,1,1,3,3,3
" "," ","55-59 years",1,1,0,1,0,1,0,0,0,1,0,0,0,0,3,3,1,3,1,1,1,2,1,4,1
" "," ","60-64 years",0,2,1,0,0,2,0,1,1,1,0,2,1,0,1,2,0,2,2,1,2,2,0,4,1
" "," ","65-69 years",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,2,0,2,0,1,1
" "," ","70-74 years",0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0
" "," ","75 years and over",1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,2,0
" ","Tasman District","0-4 years",13,12,2,13,6,6,4,4,7,6,5,15,11,14,9,11,9,13,13,18,23,14,11,12,23
" "," ","5-9 years",8,11,8,5,3,5,9,3,8,7,6,9,11,16,8,5,10,8,8,12,10,6,7,19,13
" "," ","10-14 years",11,6,11,9,2,6,3,5,5,5,9,10,9,9,8,5,8,5,5,10,8,11,9,13,15
" "," ","15-19 years",8,8,3,5,4,5,1,11,4,7,11,8,6,11,5,7,10,12,13,16,23,13,16,18,20
" "," ","20-24 years",32,16,11,10,5,7,4,8,8,14,19,14,19,13,17,11,12,15,20,23,18,27,26,43,33
" "," ","25-29 years",30,27,16,15,17,24,12,12,14,25,29,30,23,36,27,23,24,22,30,38,23,36,47,52,44
" "," ","30-34 years",17,21,9,13,9,10,15,7,2,11,14,26,20,25,10,18,20,9,17,20,22,15,19,23,36
" "," ","35-39 years",13,11,6,7,11,8,7,9,3,9,13,10,16,17,12,9,10,16,18,20,23,10,6,14,22
" "," ","40-44 years",6,7,8,7,6,6,4,2,7,3,11,14,17,10,8,8,9,11,7,11,11,8,12,21,11
" "," ","45-49 years",6,2,5,10,5,4,5,10,3,4,5,7,13,8,8,4,6,7,7,5,11,11,6,17,18
" "," ","50-54 years",6,10,5,0,3,3,1,3,3,4,5,5,7,6,7,7,8,9,8,6,7,6,7,12,13
" "," ","55-59 years",2,1,3,1,2,0,3,2,6,4,6,12,6,7,3,8,9,9,8,7,9,8,2,17,15
" "," ","60-64 years",2,2,5,0,2,0,2,2,2,0,3,3,4,4,3,8,2,5,8,7,13,8,5,10,20
" "," ","65-69 years",2,1,0,2,1,0,1,1,0,1,0,3,4,2,1,3,3,2,3,2,3,7,4,6,11
" "," ","70-74 years",0,0,0,1,1,1,3,0,3,2,5,0,1,1,2,1,0,2,3,2,0,1,3,6,3
" "," ","75 years and over",1,1,0,2,0,2,1,0,0,1,4,0,1,0,2,2,0,2,0,0,2,0,1,3,3
" ","Nelson City","0-4 years",17,19,24,31,18,22,16,14,19,14,24,17,24,16,25,31,28,26,20,25,23,20,30,42,33
" "," ","5-9 years",10,9,16,20,16,24,17,18,14,13,20,15,29,18,30,20,15,22,25,18,23,15,12,13,26
" "," ","10-14 years",17,13,26,17,16,22,17,12,8,14,22,32,22,20,39,29,24,24,27,17,18,15,11,15,22
" "," ","15-19 years",37,43,25,26,40,33,36,36,31,30,48,43,49,41,47,43,45,49,35,45,40,35,40,33,45
" "," ","20-24 years",124,200,44,43,49,78,70,47,46,46,49,62,59,35,44,47,55,83,60,56,49,43,61,79,98
" "," ","25-29 years",232,277,57,45,51,60,47,54,59,57,71,76,83,66,79,51,77,65,79,45,48,48,51,71,88
" "," ","30-34 years",169,215,34,48,44,37,32,34,27,34,31,55,52,45,45,56,42,49,42,39,25,32,38,47,65
" "," ","35-39 years",141,187,37,34,26,28,18,27,24,21,25,35,38,35,33,52,42,39,34,24,15,26,27,18,32
" "," ","40-44 years",96,151,23,16,19,22,22,17,18,15,27,29,34,25,37,34,27,29,25,17,18,24,20,24,25
" "," ","45-49 years",49,81,14,17,16,26,21,11,11,19,17,23,20,16,23,24,26,22,19,14,15,14,19,10,20
" "," ","50-54 years",53,69,6,6,10,9,14,4,7,9,11,18,10,16,21,22,17,20,17,16,11,12,4,14,13
" "," ","55-59 years",9,19,7,5,4,2,8,4,5,7,8,9,16,16,12,12,15,14,5,10,11,12,11,17,15
" "," ","60-64 years",3,8,6,6,0,5,6,2,4,5,10,12,6,4,10,13,12,15,14,9,18,12,12,19,19
" "," ","65-69 years",1,2,5,1,4,3,3,1,2,3,5,3,6,3,5,5,5,9,8,11,5,6,14,8,9
" "," ","70-74 years",4,1,2,2,0,0,1,2,2,1,1,2,3,3,3,1,3,1,0,5,3,5,2,3,6
" "," ","75 years and over",2,2,1,5,3,1,4,1,1,2,1,2,0,2,6,1,4,4,6,4,4,5,2,4,3
" ","Marlborough District","0-4 years",19,10,8,19,13,16,7,15,7,18,13,25,10,15,16,15,26,21,25,14,14,16,25,21,16
" "," ","5-9 years",5,6,12,7,13,8,2,5,7,5,14,20,9,15,10,4,14,12,20,22,13,14,10,18,15
" "," ","10-14 years",14,7,11,8,9,5,5,4,4,9,9,11,16,15,13,10,32,20,16,9,16,20,15,7,10
" "," ","15-19 years",19,12,5,6,11,7,13,11,5,16,23,20,20,14,6,17,14,28,22,11,6,15,13,13,20
" "," ","20-24 years",28,14,26,14,22,26,25,14,22,20,23,27,20,26,24,22,36,45,53,23,23,30,30,43,51
" "," ","25-29 years",37,39,32,30,29,42,26,34,45,35,37,48,49,51,50,51,66,64,53,48,29,48,52,56,54
" "," ","30-34 years",11,16,20,15,21,22,25,14,26,21,32,31,36,29,38,31,64,45,34,25,31,19,28,28,36
" "," ","35-39 years",16,12,10,8,11,11,11,8,11,13,23,29,21,25,21,28,43,34,26,22,18,23,24,17,28
" "," ","40-44 years",8,7,8,5,13,9,6,3,9,8,9,16,13,20,15,20,31,30,24,13,14,16,15,15,11
" "," ","45-49 years",2,5,7,10,9,8,11,6,8,9,9,16,7,12,12,16,19,18,17,6,13,4,11,10,8
" "," ","50-54 years",4,2,5,4,7,5,2,5,5,4,7,6,8,8,10,5,11,8,13,7,10,12,13,16,15
" "," ","55-59 years",2,3,1,2,2,2,0,0,4,7,7,4,10,3,12,8,7,9,6,8,7,8,4,19,11
" "," ","60-64 years",1,0,4,5,2,0,2,0,3,4,7,3,7,3,6,6,7,3,9,7,10,3,10,7,8
" "," ","65-69 years",0,2,0,1,2,0,2,1,2,2,2,3,3,2,1,5,4,4,5,5,3,6,10,9,7
" "," ","70-74 years",1,0,1,1,1,2,0,1,1,0,0,0,0,4,2,4,1,1,2,0,2,2,3,0,0
" "," ","75 years and over",0,2,2,1,2,0,0,0,0,2,3,2,2,4,1,2,3,2,0,2,1,0,1,1,1
" ","Kaikoura District","0-4 years",1,0,2,0,4,2,1,2,2,0,1,0,0,2,0,0,2,2,0,0,3,1,1,1,1
" "," ","5-9 years",0,0,0,0,2,1,0,0,0,0,0,2,0,0,1,0,0,1,1,2,1,0,1,2,1
" "," ","10-14 years",1,0,0,0,0,0,1,0,0,0,1,7,2,2,0,1,0,0,0,0,0,0,1,1,0
" "," ","15-19 years",0,2,0,0,0,0,2,0,1,0,1,3,0,1,0,0,0,0,0,3,1,1,2,2,1
" "," ","20-24 years",3,1,0,1,3,2,0,2,1,1,3,4,2,5,3,4,3,2,1,2,3,4,0,0,4
" "," ","25-29 years",2,3,1,5,3,2,1,1,5,5,3,1,6,2,3,3,4,2,3,6,7,1,5,4,2
" "," ","30-34 years",1,0,2,1,2,1,2,1,0,2,1,2,3,2,3,0,4,6,4,3,2,1,4,4,5
" "," ","35-39 years",0,1,0,1,2,1,4,2,1,0,1,2,2,2,1,3,1,1,1,0,0,0,0,3,4
" "," ","40-44 years",1,1,0,0,1,0,2,1,0,0,1,0,1,0,4,2,2,0,0,1,1,0,1,0,1
" "," ","45-49 years",0,0,2,1,0,2,0,0,0,0,0,1,0,0,1,1,1,2,1,1,2,0,2,1,1
" "," ","50-54 years",0,1,0,1,0,0,0,0,0,0,2,0,0,1,1,0,1,0,0,1,2,0,0,1,1
" "," ","55-59 years",1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,4
" "," ","60-64 years",0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,1,1,2
" "," ","65-69 years",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
" "," ","70-74 years",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" "," ","75 years and over",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","Buller District","0-4 years",2,4,2,7,4,3,3,1,1,2,5,1,4,4,0,2,3,3,8,4,6,9,4,2,2
