"Permanent & long-term migration by age, sex and NZ area (Annual-Dec)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Departures","","","","","","","","","","","","","","","","","","","","","","","",""
" "," ","50-54 years",6,5,2,6,10,7,10,11,13,11,10,10,6,10,14,7,13,12,17,10,16,17,17,16,7
" "," ","55-59 years",3,6,1,1,2,6,0,7,10,11,6,6,10,14,13,9,4,10,10,10,8,14,8,10,12
" "," ","60-64 years",1,1,3,4,3,5,5,1,4,1,4,3,5,3,6,9,6,11,4,2,4,6,4,8,4
" "," ","65-69 years",2,1,5,6,8,3,5,0,6,3,0,0,3,1,2,2,2,5,2,3,2,2,4,4,3
" "," ","70-74 years",2,2,1,2,1,8,2,3,6,2,0,0,4,0,2,0,1,1,2,2,1,1,2,2,2
" "," ","75 years and over",1,4,1,3,2,3,3,2,6,3,1,2,1,2,1,2,4,1,2,0,1,1,1,2,4
" ","Porirua City","0-4 years",29,35,24,23,32,42,34,27,47,30,22,12,25,24,35,25,34,27,26,29,37,56,38,21,19
" "," ","5-9 years",19,35,29,28,25,38,25,28,49,22,34,13,13,21,43,34,27,26,23,25,38,42,23,19,15
" "," ","10-14 years",16,26,23,30,26,23,24,23,26,23,31,15,20,21,38,27,22,17,19,30,29,48,33,27,20
" "," ","15-19 years",30,28,29,28,25,27,21,18,26,28,35,17,25,28,31,28,38,28,36,44,45,48,56,41,44
" "," ","20-24 years",85,92,62,56,68,100,90,91,92,87,81,56,68,72,80,57,69,88,76,65,91,70,78,45,39
" "," ","25-29 years",45,39,41,45,45,64,51,44,67,79,62,56,44,63,52,38,50,66,53,62,72,88,62,46,43
" "," ","30-34 years",36,37,31,26,25,30,30,42,30,31,31,24,22,33,38,36,28,38,16,25,37,51,35,27,31
" "," ","35-39 years",25,28,24,24,27,32,29,28,39,44,26,14,18,24,26,23,36,30,19,26,30,37,31,22,15
" "," ","40-44 years",9,21,16,20,15,14,16,14,16,22,19,8,24,15,20,19,16,23,20,14,21,30,25,18,21
" "," ","45-49 years",6,16,10,12,18,19,15,9,12,18,20,8,5,9,13,10,15,17,11,21,17,25,18,9,19
" "," ","50-54 years",12,13,6,5,5,8,10,13,13,9,16,8,9,12,9,10,16,9,15,12,16,15,17,8,9
" "," ","55-59 years",6,5,4,2,3,11,7,6,9,5,6,3,4,5,7,7,7,8,6,12,12,18,14,8,2
" "," ","60-64 years",5,3,2,3,5,7,8,4,3,4,3,0,3,3,5,5,5,9,5,5,3,9,5,1,5
" "," ","65-69 years",2,1,3,4,5,2,3,2,2,4,6,2,3,1,2,8,2,5,3,6,3,7,2,1,3
" "," ","70-74 years",0,1,1,2,1,4,3,3,2,0,1,0,0,1,4,2,2,1,1,0,2,0,2,1,2
" "," ","75 years and over",5,1,1,2,4,2,3,3,2,0,1,0,3,3,2,0,1,0,1,2,1,2,1,0,3
" ","Upper Hutt City","0-4 years",13,13,8,13,21,11,20,12,20,14,12,16,10,14,16,24,19,19,17,15,13,24,20,12,10
" "," ","5-9 years",15,12,7,9,16,15,6,15,15,23,12,11,11,11,12,14,16,11,16,15,12,30,21,9,7
" "," ","10-14 years",6,7,6,9,9,12,4,4,12,23,14,13,13,5,16,17,15,17,19,11,16,17,19,15,5
" "," ","15-19 years",18,17,7,17,10,21,15,16,15,25,20,11,12,18,27,18,15,20,25,21,32,24,22,21,25
" "," ","20-24 years",38,53,38,55,52,52,53,54,41,45,49,44,43,33,44,43,55,53,48,28,49,61,37,25,31
" "," ","25-29 years",36,30,30,38,40,39,52,48,49,49,68,55,48,45,39,30,39,41,26,39,39,36,36,43,50
" "," ","30-34 years",15,20,16,18,26,20,16,25,20,32,35,35,17,18,21,23,19,29,16,19,15,16,16,13,16
" "," ","35-39 years",12,12,16,22,24,10,18,20,23,25,22,19,16,17,26,21,20,24,19,21,18,22,22,10,11
" "," ","40-44 years",13,16,6,11,13,17,8,11,15,21,15,9,15,15,21,13,22,21,14,12,14,27,19,11,14
" "," ","45-49 years",7,13,8,10,11,13,11,5,9,9,17,12,9,12,11,15,9,25,18,21,13,24,11,8,3
" "," ","50-54 years",4,3,7,3,5,6,6,5,3,7,5,5,6,5,10,8,12,11,8,12,14,18,6,7,7
" "," ","55-59 years",2,1,5,4,1,1,2,3,4,2,3,6,0,6,9,9,6,9,6,4,13,9,9,13,10
" "," ","60-64 years",4,4,2,1,2,3,3,4,1,3,1,0,2,3,4,4,4,1,3,3,4,6,3,3,3
" "," ","65-69 years",1,1,2,2,1,3,3,3,1,1,2,2,2,0,2,3,0,0,0,0,0,3,1,1,1
" "," ","70-74 years",0,0,2,1,0,2,3,4,2,0,0,1,4,0,1,0,0,1,1,1,1,1,3,0,2
" "," ","75 years and over",0,3,1,1,2,1,1,1,0,3,0,2,0,0,1,0,2,0,2,0,0,1,0,1,1
" ","Lower Hutt City","0-4 years",50,45,44,34,40,41,33,49,50,61,37,31,27,25,40,37,46,65,65,51,73,63,51,38,44
" "," ","5-9 years",28,51,29,33,46,44,33,52,42,47,50,34,27,39,43,34,47,71,52,33,64,61,39,37,30
" "," ","10-14 years",25,39,38,39,29,25,26,34,41,59,42,27,20,30,43,32,48,44,42,35,50,38,25,27,22
" "," ","15-19 years",51,41,46,47,28,40,34,33,44,45,42,45,25,40,54,50,51,62,62,45,59,61,57,42,47
" "," ","20-24 years",144,127,118,108,115,125,108,123,110,145,116,92,81,85,115,101,96,125,87,105,132,126,119,95,98
" "," ","25-29 years",116,132,100,94,101,104,123,125,171,156,128,111,89,97,128,102,127,126,99,107,120,126,135,102,117
" "," ","30-34 years",56,66,64,57,48,64,41,90,92,83,68,55,42,46,64,58,77,77,66,51,88,69,62,71,63
" "," ","35-39 years",52,34,44,41,35,45,55,59,71,75,58,33,38,47,43,50,55,63,53,48,71,56,55,38,35
" "," ","40-44 years",35,40,31,31,31,32,34,44,58,53,49,38,37,34,53,34,59,53,46,34,48,32,28,29,30
" "," ","45-49 years",18,21,23,37,22,25,17,25,26,32,39,22,26,22,30,24,36,35,34,30,28,41,28,26,19
" "," ","50-54 years",13,11,18,24,18,18,21,32,32,22,28,23,16,19,18,22,15,24,31,26,24,35,27,26,18
" "," ","55-59 years",3,6,8,10,16,8,20,20,17,17,15,14,15,12,18,16,29,19,12,16,20,22,15,14,9
" "," ","60-64 years",6,5,7,16,3,8,6,12,16,8,9,9,8,6,10,12,10,11,12,9,13,13,12,3,17
" "," ","65-69 years",6,7,5,4,10,6,8,10,5,3,7,3,2,4,8,5,5,9,5,9,8,4,8,5,5
" "," ","70-74 years",2,1,4,4,4,4,3,6,4,4,5,6,4,3,9,1,5,4,5,4,6,4,1,3,6
" "," ","75 years and over",2,6,1,2,8,5,4,7,4,7,2,1,1,3,3,4,2,1,5,2,5,2,2,5,1
" ","Wellington City","0-4 years",129,137,123,128,118,162,133,165,175,202,124,77,95,109,90,122,167,137,113,113,130,112,110,69,93
" "," ","5-9 years",90,90,97,99,109,106,128,116,125,150,110,70,68,71,88,94,117,99,78,91,97,84,79,74,81
" "," ","10-14 years",66,62,51,71,83,76,80,95,94,126,111,60,75,65,77,57,90,85,57,72,65,67,61,56,52
" "," ","15-19 years",87,88,80,107,85,107,83,111,118,141,100,112,117,127,136,127,155,138,101,113,114,116,103,87,83
" "," ","20-24 years",374,323,288,307,303,355,380,372,388,426,331,331,335,370,293,342,348,382,306,351,378,392,315,280,347
" "," ","25-29 years",471,419,386,379,418,438,549,658,620,600,443,407,320,368,404,385,483,478,375,446,472,424,377,371,393
" "," ","30-34 years",255,274,238,266,248,313,297,400,375,405,295,236,205,209,197,232,279,251,214,283,275,272,246,247,274
" "," ","35-39 years",186,140,143,157,176,198,238,244,253,305,254,147,149,138,163,176,214,205,155,192,187,169,164,155,139
" "," ","40-44 years",148,128,99,99,129,111,131,147,157,184,174,113,86,106,104,119,130,155,110,154,128,131,125,115,116
" "," ","45-49 years",76,75,82,90,88,95,102,106,130,127,106,65,85,90,86,96,96,99,86,103,101,79,84,72,56
" "," ","50-54 years",59,65,66,57,66,54,71,75,93,110,96,64,63,65,67,83,85,82,73,73,87,74,76,56,69
" "," ","55-59 years",30,35,29,38,33,40,40,44,43,53,60,42,42,49,73,52,64,59,46,60,52,70,34,56,45
" "," ","60-64 years",28,13,20,23,25,21,27,26,29,24,41,23,23,22,26,23,32,38,35,37,37,33,33,18,30
" "," ","65-69 years",15,18,12,15,13,20,25,15,25,23,14,10,12,17,15,9,10,18,16,14,20,12,21,11,18
" "," ","70-74 years",7,6,7,9,9,10,14,12,9,12,7,5,11,9,8,5,6,4,7,6,10,6,10,6,11
" "," ","75 years and over",5,4,6,11,17,14,7,5,7,4,3,5,9,4,11,6,3,3,6,2,5,6,8,5,8
" ","Masterton District","0-4 years",6,7,7,7,8,10,10,5,5,8,8,6,7,4,14,7,7,10,11,10,7,19,13,9,6
" "," ","5-9 years",3,4,2,10,5,13,10,10,11,6,6,4,8,6,9,7,3,9,3,5,7,15,10,8,4
" "," ","10-14 years",3,2,4,3,4,11,8,4,18,4,6,8,4,11,8,2,7,7,5,4,9,7,7,9,2
" "," ","15-19 years",14,11,20,22,12,19,14,11,15,16,12,11,14,13,21,9,21,14,16,13,16,17,14,4,7
" "," ","20-24 years",36,35,28,35,21,32,42,36,41,41,36,30,28,36,41,37,30,39,19,31,37,35,25,35,19
" "," ","25-29 years",20,16,23,18,21,30,36,23,33,34,39,27,28,28,32,30,30,23,24,24,30,21,29,26,24
" "," ","30-34 years",7,8,10,10,11,8,11,12,15,13,14,9,11,15,15,9,9,24,12,8,11,16,9,7,7
" "," ","35-39 years",3,4,2,8,4,7,7,7,10,10,10,3,4,9,12,9,13,15,9,4,12,13,8,2,5
" "," ","40-44 years",5,3,4,5,7,7,5,5,11,6,3,7,7,6,12,4,9,11,6,5,6,11,5,6,3
" "," ","45-49 years",1,2,2,5,11,4,6,3,6,2,3,6,3,6,6,4,9,11,7,3,7,1,3,1,4
" "," ","50-54 years",2,3,2,1,4,3,2,2,8,5,3,1,6,7,3,4,6,5,7,5,2,7,7,4,3
" "," ","55-59 years",1,1,3,1,1,2,3,3,3,2,2,3,2,2,3,6,5,3,3,0,5,4,0,4,2
" "," ","60-64 years",0,1,1,3,3,1,0,0,0,1,1,1,1,0,3,2,1,0,1,1,5,1,2,3,1
" "," ","65-69 years",0,2,0,0,2,0,2,2,4,1,0,1,1,0,1,1,1,1,2,1,3,1,0,2,0
" "," ","70-74 years",0,0,0,0,0,1,1,0,2,2,0,0,1,2,1,2,0,2,1,1,0,0,1,0,0
" "," ","75 years and over",0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,2
" ","Carterton District","0-4 years",2,0,1,0,0,4,0,0,2,2,2,0,1,2,2,0,0,7,1,1,5,8,1,2,0
" "," ","5-9 years",1,1,0,0,0,4,1,1,1,1,4,3,0,1,0,0,1,4,0,1,2,1,3,0,3
" "," ","10-14 years",1,0,1,0,1,3,0,1,0,2,2,0,2,2,3,1,1,5,1,0,0,1,1,3,1
" "," ","15-19 years",2,2,1,5,5,3,3,3,8,5,2,3,1,3,3,2,1,5,1,3,1,5,3,3,1
" "," ","20-24 years",6,3,4,3,8,8,6,7,8,10,5,6,5,9,7,5,11,8,10,9,11,9,11,9,3
" "," ","25-29 years",2,0,2,2,8,6,7,8,12,7,5,8,2,3,2,5,4,3,12,4,8,10,1,5,8
" "," ","30-34 years",0,0,4,1,1,1,4,2,1,3,4,3,3,1,3,3,2,5,3,2,3,4,2,2,0
" "," ","35-39 years",0,0,0,1,1,4,2,0,0,1,1,2,0,2,3,3,1,3,6,2,2,3,3,2,2
" "," ","40-44 years",1,1,1,0,1,0,0,1,1,2,5,1,0,1,1,1,1,1,0,4,1,6,2,4,1
" "," ","45-49 years",0,1,0,0,2,3,1,0,2,0,1,1,2,1,0,1,0,2,1,2,3,3,1,1,0
" "," ","50-54 years",1,0,0,0,0,2,1,0,2,1,3,3,0,0,0,0,0,3,1,1,1,0,3,0,0
" "," ","55-59 years",1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,3,2,1,0,2,1,0,0
" "," ","60-64 years",0,0,1,0,1,0,0,1,0,0,1,1,1,1,0,0,1,2,0,0,2,1,0,0,1
" "," ","65-69 years",0,0,0,0,0,0,0,0,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
" "," ","70-74 years",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
" "," ","75 years and over",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
" ","South Wairarapa District","0-4 years",2,2,2,1,3,2,1,3,4,1,0,5,2,0,1,3,5,5,1,3,5,3,6,4,1
" "," ","5-9 years",0,1,3,1,1,2,2,1,3,3,1,4,3,1,1,1,1,2,0,3,3,1,2,3,5
" "," ","10-14 years",0,5,1,3,2,5,2,2,5,0,1,2,2,1,1,2,2,2,0,6,3,1,2,1,1
" "," ","15-19 years",4,9,4,6,4,5,6,6,2,6,3,4,5,2,5,6,7,11,3,5,4,7,1,3,2
" "," ","20-24 years",13,12,21,10,14,21,12,12,19,18,7,20,14,5,10,13,10,12,5,13,10,18,9,6,9
" "," ","25-29 years",5,3,8,4,5,9,9,15,9,11,18,11,9,15,13,13,13,13,5,8,9,7,4,2,5
" "," ","30-34 years",2,4,3,3,4,3,5,3,2,5,2,7,3,2,3,6,6,5,4,2,5,2,4,6,0
" "," ","35-39 years",4,2,2,0,1,4,4,1,3,3,3,4,4,3,2,0,5,7,4,3,5,4,4,4,0
" "," ","40-44 years",0,1,1,2,2,1,6,3,3,3,3,2,4,3,3,3,5,2,2,3,4,2,2,4,4
" "," ","45-49 years",0,1,1,3,0,3,3,1,3,3,0,1,2,1,2,4,4,7,3,5,2,2,3,2,4
" "," ","50-54 years",0,0,0,0,3,2,1,2,1,1,1,1,2,2,3,2,3,2,1,2,1,3,5,3,1
" "," ","55-59 years",1,3,0,0,0,0,0,1,2,0,1,1,0,0,1,2,1,0,2,0,5,3,3,1,2
" "," ","60-64 years",0,0,0,2,0,3,0,0,1,1,0,0,0,0,0,1,3,3,1,0,2,1,2,1,2
" "," ","65-69 years",0,1,0,1,2,2,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2,1,0,1
" "," ","70-74 years",0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0
" "," ","75 years and over",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
" ","Tasman District","0-4 years",6,7,5,6,6,10,5,7,1,7,5,5,2,8,6,7,16,29,15,12,19,24,11,13,10
" "," ","5-9 years",0,9,3,7,11,6,5,8,8,10,3,5,9,6,7,10,9,7,7,6,13,20,9,5,8
" "," ","10-14 years",5,6,5,11,3,4,8,6,14,13,6,6,2,4,4,10,4,8,6,16,7,13,10,11,6
" "," ","15-19 years",13,20,11,8,4,11,15,9,17,15,14,15,5,12,19,17,12,17,21,28,26,34,19,31,26
" "," ","20-24 years",34,52,24,30,31,37,48,30,32,39,44,32,32,33,54,54,59,58,53,55,61,70,53,70,49
" "," ","25-29 years",14,28,12,23,23,34,30,31,33,46,44,26,27,31,46,47,35,56,39,38,68,68,58,40,58
" "," ","30-34 years",11,13,9,7,15,11,11,8,13,18,11,13,12,10,21,22,14,26,19,24,30,31,20,29,22
" "," ","35-39 years",6,8,2,4,14,7,8,14,12,14,11,15,5,15,7,9,19,23,14,14,25,20,13,8,8
" "," ","40-44 years",6,6,2,6,6,12,8,10,15,12,11,4,5,12,14,11,8,13,10,19,17,18,9,6,9
" "," ","45-49 years",3,4,9,7,5,4,9,7,9,11,2,5,2,4,4,11,9,10,8,12,22,14,6,8,5
" "," ","50-54 years",2,3,2,1,4,6,7,6,7,5,11,2,7,6,12,10,11,19,4,10,11,22,10,7,8
" "," ","55-59 years",2,2,0,0,4,6,1,3,3,3,2,4,5,3,6,4,6,7,4,9,8,11,9,4,6
" "," ","60-64 years",1,0,0,1,0,2,1,3,1,3,2,4,2,2,1,4,2,5,4,5,3,7,6,6,4
" "," ","65-69 years",1,1,2,2,2,1,1,1,0,2,0,1,1,2,1,1,1,3,1,1,2,2,2,4,4
" "," ","70-74 years",0,0,1,1,2,0,2,1,4,0,1,1,1,0,1,1,3,0,0,1,1,1,1,1,1
" "," ","75 years and over",2,2,2,0,0,0,1,1,1,4,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1
" ","Nelson City","0-4 years",8,8,8,13,11,10,12,14,16,19,7,14,11,17,19,16,22,30,17,17,19,20,19,9,23
" "," ","5-9 years",12,4,5,5,11,12,15,19,26,27,17,11,5,6,16,6,14,15,15,12,19,17,12,15,14
" "," ","10-14 years",6,8,6,7,12,11,15,10,15,21,17,14,17,15,16,15,29,14,14,10,13,10,8,5,9
" "," ","15-19 years",24,14,27,24,21,21,31,41,42,41,38,27,27,37,34,41,42,55,25,32,44,40,28,23,25
" "," ","20-24 years",67,48,72,74,64,78,85,106,79,104,93,76,80,78,75,98,103,95,54,75,87,89,82,62,47
" "," ","25-29 years",69,43,37,45,55,57,89,86,81,89,82,76,78,74,77,71,71,80,50,58,82,55,45,55,40
" "," ","30-34 years",43,24,18,33,33,27,26,48,50,54,39,32,37,41,32,43,37,38,23,27,35,28,23,23,26
" "," ","35-39 years",21,9,14,22,19,22,26,27,32,31,25,18,10,26,31,23,35,26,15,20,28,26,12,11,12
" "," ","40-44 years",14,12,14,13,11,10,26,18,21,28,17,20,17,14,24,22,20,32,12,21,15,22,8,12,13
" "," ","45-49 years",11,9,17,15,15,17,13,22,18,22,17,18,13,14,14,24,19,14,14,20,20,17,19,4,6
" "," ","50-54 years",8,4,7,7,9,9,14,12,20,24,13,11,23,8,14,20,22,20,13,15,20,16,15,12,13
" "," ","55-59 years",9,8,3,2,3,7,10,11,11,11,6,3,10,9,13,10,19,14,14,12,16,22,7,7,12
" "," ","60-64 years",2,0,2,2,5,1,1,4,4,3,8,5,2,5,3,10,5,12,6,5,8,7,4,6,7
" "," ","65-69 years",3,0,3,6,4,5,2,4,6,1,1,1,3,2,2,3,5,5,2,2,2,5,1,4,2
" "," ","70-74 years",2,2,3,2,2,1,4,1,1,3,3,1,1,2,1,1,0,0,0,1,1,2,3,0,3
" "," ","75 years and over",0,2,2,2,3,3,1,2,4,3,0,1,2,1,0,1,3,3,2,3,0,4,3,0,2
" ","Marlborough District","0-4 years",5,12,5,15,4,10,9,8,13,15,16,8,13,11,16,12,10,17,12,23,19,22,16,8,6
" "," ","5-9 years",4,8,7,2,7,13,10,6,9,15,12,17,6,9,12,9,12,13,6,17,14,18,12,12,3
" "," ","10-14 years",7,15,5,2,7,8,5,8,10,14,13,10,4,7,7,13,6,12,4,14,12,16,13,4,0
" "," ","15-19 years",18,31,20,16,15,24,18,14,20,25,15,12,16,16,16,19,17,19,21,17,26,24,14,11,12
" "," ","20-24 years",24,41,23,49,51,52,53,53,72,48,55,51,43,43,45,63,55,57,53,58,78,72,62,51,49
" "," ","25-29 years",24,20,29,27,31,44,56,50,58,47,54,57,46,51,68,53,61,73,57,70,87,78,60,52,54
" "," ","30-34 years",14,12,7,12,8,19,17,16,29,32,32,29,16,26,18,26,35,43,46,30,35,40,23,17,26
" "," ","35-39 years",10,10,9,10,11,17,19,8,20,16,19,11,11,10,19,18,17,36,25,27,24,28,21,11,11
" "," ","40-44 years",8,9,3,6,13,12,8,6,11,13,15,19,11,8,10,16,16,20,22,17,22,25,12,7,7
" "," ","45-49 years",3,4,9,8,5,11,9,17,7,18,16,9,7,7,15,14,18,26,14,20,16,17,16,11,5
" "," ","50-54 years",4,3,2,2,1,5,3,2,6,6,8,14,7,15,12,8,15,24,6,13,18,15,9,8,8
" "," ","55-59 years",3,1,6,4,3,4,6,4,9,7,7,7,6,7,7,6,12,12,9,20,13,13,4,5,5
" "," ","60-64 years",2,5,0,0,1,4,1,0,5,3,5,2,2,2,6,6,4,8,7,7,7,5,7,5,3
" "," ","65-69 years",3,2,3,0,2,1,2,3,6,2,1,1,0,4,1,1,3,1,0,1,2,3,2,5,2
" "," ","70-74 years",2,0,0,2,2,3,4,2,1,3,0,1,1,0,1,2,0,0,0,1,2,0,2,2,0
" "," ","75 years and over",0,0,2,0,0,4,2,1,2,1,0,3,2,0,3,1,0,1,4,2,3,1,1,0,0
" ","Kaikoura District","0-4 years",0,0,0,2,3,1,0,0,0,0,1,0,0,2,0,1,2,1,1,1,1,1,2,0,4
" "," ","5-9 years",0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,2,2,0,0
" "," ","10-14 years",0,0,0,1,0,0,1,0,0,1,0,0,0,1,2,0,1,2,0,1,0,3,1,1,1
" "," ","15-19 years",0,1,1,1,0,2,0,0,0,2,2,0,2,0,1,1,3,2,2,0,3,1,5,0,1
" "," ","20-24 years",7,2,3,1,1,2,1,4,2,3,7,0,0,5,6,3,7,10,3,11,11,3,6,4,5
" "," ","25-29 years",4,1,1,2,1,8,2,1,1,5,1,2,1,5,1,9,4,4,11,5,3,7,3,6,2
" "," ","30-34 years",0,0,2,4,1,1,2,2,0,0,1,0,1,1,6,5,5,3,1,0,5,1,2,1,2
" "," ","35-39 years",0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,1,0,2,1,1,3,1,0,0
" "," ","40-44 years",0,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,2,1,2,2,1,0,0,1
" "," ","45-49 years",2,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,2,4,0,1,2,5,2,1,1
" "," ","50-54 years",0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,2,0,3,0,1
" "," ","55-59 years",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,1,0,0,1
" "," ","60-64 years",0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
" "," ","65-69 years",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
" "," ","70-74 years",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
" "," ","75 years and over",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","Buller District","0-4 years",4,3,2,1,0,10,3,6,2,5,2,4,2,3,2,3,0,3,2,5,2,4,6,1,2
" "," ","5-9 years",0,1,1,2,2,0,2,3,2,3,3,1,2,2,3,1,4,3,2,1,1,3,2,0,1
" "," ","10-14 years",1,0,2,2,4,2,1,0,3,0,1,0,5,1,2,4,0,7,2,2,1,1,4,2,2
" "," ","15-19 years",3,7,6,2,2,4,3,4,3,4,4,2,2,6,5,3,2,3,5,1,1,3,1,3,0
" "," ","20-24 years",6,5,7,16,11,6,11,17,16,13,7,10,7,12,9,16,19,15,5,11,6,6,20,7,10
" "," ","25-29 years",9,6,6,13,6,4,6,9,15,16,6,6,6,9,10,2,10,7,6,12,8,10,10,4,3
" "," ","30-34 years",2,2,4,2,5,6,2,2,5,5,4,10,4,4,5,4,2,10,7,3,10,6,1,7,2
" "," ","35-39 years",2,3,0,5,0,7,6,4,2,4,5,2,7,5,2,10,6,5,3,4,3,8,4,0,1
" "," ","40-44 years",1,3,4,4,6,3,2,4,6,4,2,4,4,3,5,4,3,5,4,2,7,5,3,2,2
" "," ","45-49 years",1,0,0,3,6,4,1,3,3,2,0,0,2,4,3,2,4,2,2,6,6,3,4,1,2
" "," ","50-54 years",0,1,0,0,0,1,0,0,0,2,2,2,3,1,1,3,1,2,2,1,6,5,3,3,3
" "," ","55-59 years",0,0,0,1,0,1,1,0,1,1,0,1,0,1,2,0,5,1,1,1,5,2,0,3,1
" "," ","60-64 years",0,0,0,2,0,0,0,0,1,0,0,2,1,0,0,3,1,1,1,3,2,2,1,1,1
" "," ","65-69 years",1,0,0,0,1,1,0,0,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
" "," ","70-74 years",0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
" "," ","75 years and over",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
" ","Grey District","0-4 years",2,3,2,1,3,2,1,2,5,0,1,2,0,2,2,3,7,2,3,3,8,4,3,3,0
" "," ","5-9 years",3,1,3,4,2,1,2,2,5,6,3,3,1,4,5,3,3,4,2,8,3,2,1,4,2
" "," ","10-14 years",3,4,5,3,2,0,2,0,2,5,1,1,1,2,3,3,0,0,2,3,6,5,6,3,3
" "," ","15-19 years",5,2,5,7,5,2,3,3,2,4,1,4,7,4,3,4,7,7,4,8,9,4,6,2,4
" "," ","20-24 years",12,4,10,15,20,14,12,14,15,15,9,11,8,5,15,13,16,18,9,8,26,16,17,10,8
" "," ","25-29 years",5,10,8,7,10,11,12,13,21,12,10,16,11,14,7,9,13,18,11,9,19,19,13,5,9
" "," ","30-34 years",4,6,3,5,4,6,5,4,8,6,7,5,6,4,4,8,9,6,7,1,9,5,1,2,2
" "," ","35-39 years",1,1,3,3,3,3,6,8,11,4,5,5,2,1,6,1,3,1,2,6,6,5,3,0,3
" "," ","40-44 years",3,2,2,4,1,4,5,2,2,6,2,3,1,3,1,3,3,6,3,6,9,5,3,8,1
" "," ","45-49 years",3,1,2,1,2,6,2,2,2,3,1,1,0,1,4,4,1,3,4,0,4,6,1,1,1
" "," ","50-54 years",3,0,0,2,0,1,0,1,5,2,1,5,1,1,2,1,5,3,4,2,5,3,1,1,4
" "," ","55-59 years",1,0,0,1,0,0,2,2,0,1,0,1,2,1,2,0,3,2,1,3,2,3,5,2,0
" "," ","60-64 years",1,1,1,0,0,0,1,0,2,2,0,0,0,0,0,1,2,0,0,2,1,2,1,2,0
" "," ","65-69 years",0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0
" "," ","70-74 years",0,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
" "," ","75 years and over",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
" ","Westland District","0-4 years",1,0,1,0,1,0,3,3,4,1,2,1,1,1,1,1,4,1,3,0,1,0,1,0,0
" "," ","5-9 years",1,0,1,1,2,3,0,2,3,1,4,1,0,0,2,2,2,1,1,0,0,1,1,1,2
" "," ","10-14 years",1,2,1,0,4,1,0,6,2,4,2,0,2,1,3,1,0,2,1,0,0,3,3,0,0
" "," ","15-19 years",1,2,0,5,1,1,0,2,3,3,3,0,1,4,9,3,6,4,2,3,4,7,3,4,2
" "," ","20-24 years",8,12,11,7,12,14,12,5,15,6,12,9,10,10,10,8,11,8,5,5,11,11,15,14,5
" "," ","25-29 years",0,5,3,11,6,6,8,8,13,8,8,8,5,7,8,12,7,8,8,3,9,8,6,5,13
" "," ","30-34 years",1,1,2,2,3,2,3,6,4,4,4,3,1,7,8,0,4,4,5,2,5,5,4,3,2
" "," ","35-39 years",2,1,3,2,4,1,2,2,4,3,2,3,5,6,4,1,3,3,0,0,2,0,3,1,2
" "," ","40-44 years",1,0,2,0,2,3,1,2,5,2,0,2,3,2,4,2,4,3,3,0,0,4,1,1,1
" "," ","45-49 years",1,1,1,1,1,1,1,3,0,4,2,1,2,1,0,3,4,0,1,1,3,3,0,1,2
" "," ","50-54 years",0,0,0,0,0,0,4,1,1,2,2,1,1,1,0,0,1,1,1,3,2,3,1,0,0
" "," ","55-59 years",0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,2,3,1,0,0,1,0,3,3,0
