Area,Age,Sex,Year at 30 June,Value,Flags
"Gisborne region","30-34 Years","Female","2014",1340,
"Hawke's Bay region","30-34 Years","Male","2006",4360,
"Hawke's Bay region","30-34 Years","Male","2007",4270,
"Hawke's Bay region","30-34 Years","Male","2008",4130,
"Hawke's Bay region","30-34 Years","Male","2009",3980,
"Hawke's Bay region","30-34 Years","Male","2010",3920,
"Hawke's Bay region","30-34 Years","Male","2011",3830,
"Hawke's Bay region","30-34 Years","Male","2012",3740,
"Hawke's Bay region","30-34 Years","Male","2013",3650,
"Hawke's Bay region","30-34 Years","Male","2014",3690,
"Hawke's Bay region","30-34 Years","Female","2006",4950,
"Hawke's Bay region","30-34 Years","Female","2007",4810,
"Hawke's Bay region","30-34 Years","Female","2008",4660,
"Hawke's Bay region","30-34 Years","Female","2009",4520,
"Hawke's Bay region","30-34 Years","Female","2010",4390,
"Hawke's Bay region","30-34 Years","Female","2011",4340,
"Hawke's Bay region","30-34 Years","Female","2012",4190,
"Hawke's Bay region","30-34 Years","Female","2013",4090,
"Hawke's Bay region","30-34 Years","Female","2014",4060,
"Taranaki region","30-34 Years","Male","2006",3170,
"Taranaki region","30-34 Years","Male","2007",3120,
"Taranaki region","30-34 Years","Male","2008",3020,
"Taranaki region","30-34 Years","Male","2009",3040,
"Taranaki region","30-34 Years","Male","2010",3030,
"Taranaki region","30-34 Years","Male","2011",3080,
"Taranaki region","30-34 Years","Male","2012",3090,
"Taranaki region","30-34 Years","Male","2013",3160,
"Taranaki region","30-34 Years","Male","2014",3150,
"Taranaki region","30-34 Years","Female","2006",3500,
"Taranaki region","30-34 Years","Female","2007",3420,
"Taranaki region","30-34 Years","Female","2008",3300,
"Taranaki region","30-34 Years","Female","2009",3220,
"Taranaki region","30-34 Years","Female","2010",3250,
"Taranaki region","30-34 Years","Female","2011",3280,
"Taranaki region","30-34 Years","Female","2012",3220,
"Taranaki region","30-34 Years","Female","2013",3270,
"Taranaki region","30-34 Years","Female","2014",3330,
"Manawatu-Wanganui region","30-34 Years","Male","2006",6570,
"Manawatu-Wanganui region","30-34 Years","Male","2007",6290,
"Manawatu-Wanganui region","30-34 Years","Male","2008",6110,
"Manawatu-Wanganui region","30-34 Years","Male","2009",6060,
"Manawatu-Wanganui region","30-34 Years","Male","2010",5940,
"Manawatu-Wanganui region","30-34 Years","Male","2011",5940,
"Manawatu-Wanganui region","30-34 Years","Male","2012",5850,
"Manawatu-Wanganui region","30-34 Years","Male","2013",5780,
"Manawatu-Wanganui region","30-34 Years","Male","2014",5910,
"Manawatu-Wanganui region","30-34 Years","Female","2006",7240,
"Manawatu-Wanganui region","30-34 Years","Female","2007",6890,
"Manawatu-Wanganui region","30-34 Years","Female","2008",6700,
"Manawatu-Wanganui region","30-34 Years","Female","2009",6560,
"Manawatu-Wanganui region","30-34 Years","Female","2010",6440,
"Manawatu-Wanganui region","30-34 Years","Female","2011",6410,
"Manawatu-Wanganui region","30-34 Years","Female","2012",6420,
"Manawatu-Wanganui region","30-34 Years","Female","2013",6390,
"Manawatu-Wanganui region","30-34 Years","Female","2014",6390,
"Wellington region","30-34 Years","Male","2006",16620,
"Wellington region","30-34 Years","Male","2007",16220,
"Wellington region","30-34 Years","Male","2008",15710,
"Wellington region","30-34 Years","Male","2009",15500,
"Wellington region","30-34 Years","Male","2010",15430,
"Wellington region","30-34 Years","Male","2011",15410,
"Wellington region","30-34 Years","Male","2012",15340,
"Wellington region","30-34 Years","Male","2013",15450,
"Wellington region","30-34 Years","Male","2014",15560,
"Wellington region","30-34 Years","Female","2006",18380,
"Wellington region","30-34 Years","Female","2007",17760,
"Wellington region","30-34 Years","Female","2008",17250,
"Wellington region","30-34 Years","Female","2009",16920,
"Wellington region","30-34 Years","Female","2010",16830,
"Wellington region","30-34 Years","Female","2011",16840,
"Wellington region","30-34 Years","Female","2012",16810,
"Wellington region","30-34 Years","Female","2013",16740,
"Wellington region","30-34 Years","Female","2014",16840,
"Tasman region","30-34 Years","Male","2006",1350,
"Tasman region","30-34 Years","Male","2007",1260,
"Tasman region","30-34 Years","Male","2008",1190,
"Tasman region","30-34 Years","Male","2009",1120,
"Tasman region","30-34 Years","Male","2010",1070,
"Tasman region","30-34 Years","Male","2011",1040,
"Tasman region","30-34 Years","Male","2012",1010,
"Tasman region","30-34 Years","Male","2013",990,
"Tasman region","30-34 Years","Male","2014",960,
"Tasman region","30-34 Years","Female","2006",1420,
"Tasman region","30-34 Years","Female","2007",1320,
"Tasman region","30-34 Years","Female","2008",1250,
"Tasman region","30-34 Years","Female","2009",1210,
"Tasman region","30-34 Years","Female","2010",1160,
"Tasman region","30-34 Years","Female","2011",1160,
"Tasman region","30-34 Years","Female","2012",1150,
"Tasman region","30-34 Years","Female","2013",1160,
"Tasman region","30-34 Years","Female","2014",1140,
"Nelson region","30-34 Years","Male","2006",1370,
"Nelson region","30-34 Years","Male","2007",1300,
"Nelson region","30-34 Years","Male","2008",1260,
"Nelson region","30-34 Years","Male","2009",1250,
"Nelson region","30-34 Years","Female","2006",1470,
"Nelson region","30-34 Years","Female","2007",1460,
"Nelson region","30-34 Years","Female","2008",1390,
"Nelson region","30-34 Years","Female","2009",1390,
"Otago region","30-34 Years","Male","2006",6450,
"Otago region","30-34 Years","Male","2007",6280,
"Otago region","30-34 Years","Male","2008",6040,
"Otago region","30-34 Years","Male","2009",5890,
"Otago region","30-34 Years","Male","2010",5780,
"Otago region","30-34 Years","Male","2011",5830,
"Otago region","30-34 Years","Male","2012",5790,
"Otago region","30-34 Years","Male","2013",5800,
"Otago region","30-34 Years","Male","2014",5950,
"Otago region","30-34 Years","Female","2006",6610,
"Otago region","30-34 Years","Female","2007",6420,
"Otago region","30-34 Years","Female","2008",6310,
"Otago region","30-34 Years","Female","2009",6290,
"Otago region","30-34 Years","Female","2010",6250,
"Otago region","30-34 Years","Female","2011",6250,
"Otago region","30-34 Years","Female","2012",6260,
"Otago region","30-34 Years","Female","2013",6250,
"Otago region","30-34 Years","Female","2014",6200,
"Southland region","30-34 Years","Male","2006",2860,
"Southland region","30-34 Years","Male","2007",2800,
"Southland region","30-34 Years","Male","2008",2780,
"Southland region","30-34 Years","Male","2009",2720,
"Southland region","30-34 Years","Male","2010",2740,
"Southland region","30-34 Years","Male","2011",2770,
"Southland region","30-34 Years","Male","2012",2720,
"Southland region","30-34 Years","Male","2013",2620,
"Southland region","30-34 Years","Male","2014",2720,
"Southland region","30-34 Years","Female","2006",3010,
"Southland region","30-34 Years","Female","2007",2930,
"Southland region","30-34 Years","Female","2008",2900,
"Southland region","30-34 Years","Female","2009",2850,
"Southland region","30-34 Years","Female","2010",2810,
"Southland region","30-34 Years","Female","2011",2860,
"Southland region","30-34 Years","Female","2012",2890,
"Southland region","30-34 Years","Female","2013",2910,
"Southland region","30-34 Years","Female","2014",2940,
"Area outside region","30-34 Years","Male","2006",35,
"Area outside region","30-34 Years","Male","2007",30,
"Area outside region","30-34 Years","Male","2008",20,
"Area outside region","30-34 Years","Male","2009",20,
"Area outside region","30-34 Years","Male","2010",20,
"Area outside region","30-34 Years","Male","2011",15,
"Area outside region","30-34 Years","Male","2012",20,
"Area outside region","30-34 Years","Male","2013",15,
"Area outside region","30-34 Years","Male","2014",10,
"Area outside region","30-34 Years","Female","2006",25,
"Area outside region","30-34 Years","Female","2007",25,
"Area outside region","30-34 Years","Female","2008",15,
"Area outside region","30-34 Years","Female","2009",15,
"Area outside region","30-34 Years","Female","2010",15,
"Area outside region","30-34 Years","Female","2011",15,
"Area outside region","30-34 Years","Female","2012",10,
"Area outside region","30-34 Years","Female","2013",15,
"Area outside region","30-34 Years","Female","2014",15,
"Northland region","35-39 Years","Male","2006",4790,
"Northland region","35-39 Years","Male","2007",4720,
"Northland region","35-39 Years","Male","2008",4690,
"Northland region","35-39 Years","Male","2009",4610,
"Northland region","35-39 Years","Male","2010",4470,
"Northland region","35-39 Years","Male","2011",4280,
"Northland region","35-39 Years","Male","2012",4060,
"Northland region","35-39 Years","Male","2013",3900,
"Northland region","35-39 Years","Male","2014",3720,
"Northland region","35-39 Years","Female","2006",5370,
"Northland region","35-39 Years","Female","2007",5360,
"Northland region","35-39 Years","Female","2008",5300,
"Northland region","35-39 Years","Female","2009",5210,
"Northland region","35-39 Years","Female","2010",5160,
"Northland region","35-39 Years","Female","2011",4970,
"Northland region","35-39 Years","Female","2012",4830,
"Northland region","35-39 Years","Female","2013",4600,
"Northland region","35-39 Years","Female","2014",4420,
"Auckland region","35-39 Years","Male","2006",52660,
"Auckland region","35-39 Years","Male","2007",53200,
"Auckland region","35-39 Years","Male","2008",52580,
"Auckland region","35-39 Years","Male","2009",51830,
"Auckland region","35-39 Years","Male","2010",50820,
"Auckland region","35-39 Years","Male","2011",49380,
"Auckland region","35-39 Years","Male","2012",48010,
"Auckland region","35-39 Years","Male","2013",47110,
"Auckland region","35-39 Years","Male","2014",47360,
"Auckland region","35-39 Years","Female","2006",57640,
"Auckland region","35-39 Years","Female","2007",58440,
"Auckland region","35-39 Years","Female","2008",58230,
"Auckland region","35-39 Years","Female","2009",57420,
"Auckland region","35-39 Years","Female","2010",56410,
"Auckland region","35-39 Years","Female","2011",54940,
"Auckland region","35-39 Years","Female","2012",53400,
"Auckland region","35-39 Years","Female","2013",52210,
"Auckland region","35-39 Years","Female","2014",52290,
"Waikato region","35-39 Years","Male","2006",13410,
"Waikato region","35-39 Years","Male","2007",13420,
"Waikato region","35-39 Years","Male","2008",13380,
"Waikato region","35-39 Years","Male","2009",13230,
"Waikato region","35-39 Years","Male","2010",13030,
"Waikato region","35-39 Years","Male","2011",12600,
"Waikato region","35-39 Years","Male","2012",12300,
"Waikato region","35-39 Years","Male","2013",11980,
"Waikato region","35-39 Years","Male","2014",11800,
"Waikato region","35-39 Years","Female","2006",14790,
"Waikato region","35-39 Years","Female","2007",14860,
"Waikato region","35-39 Years","Female","2008",14870,
"Waikato region","35-39 Years","Female","2009",14670,
"Waikato region","35-39 Years","Female","2010",14400,
"Waikato region","35-39 Years","Female","2011",13840,
"Waikato region","35-39 Years","Female","2012",13420,
"Waikato region","35-39 Years","Female","2013",13110,
"Waikato region","35-39 Years","Female","2014",12940,
"Bay of Plenty region","35-39 Years","Male","2006",8420,
"Bay of Plenty region","35-39 Years","Male","2007",8490,
"Bay of Plenty region","35-39 Years","Male","2008",8540,
"Bay of Plenty region","35-39 Years","Male","2009",8460,
"Bay of Plenty region","35-39 Years","Male","2010",8340,
"Bay of Plenty region","35-39 Years","Male","2011",8050,
"Bay of Plenty region","35-39 Years","Male","2012",7750,
"Bay of Plenty region","35-39 Years","Male","2013",7520,
"Bay of Plenty region","35-39 Years","Male","2014",7220,
"Bay of Plenty region","35-39 Years","Female","2006",9840,
"Bay of Plenty region","35-39 Years","Female","2007",9880,
"Bay of Plenty region","35-39 Years","Female","2008",9900,
"Bay of Plenty region","35-39 Years","Female","2009",9750,
"Bay of Plenty region","35-39 Years","Female","2010",9610,
"Bay of Plenty region","35-39 Years","Female","2011",9240,
"Bay of Plenty region","35-39 Years","Female","2012",8960,
"Bay of Plenty region","35-39 Years","Female","2013",8610,
"Bay of Plenty region","35-39 Years","Female","2014",8430,
"Gisborne region","35-39 Years","Male","2006",1430,
"Gisborne region","35-39 Years","Male","2007",1440,
"Gisborne region","35-39 Years","Male","2008",1430,
"Gisborne region","35-39 Years","Male","2009",1430,
"Gisborne region","35-39 Years","Male","2010",1420,
"Gisborne region","35-39 Years","Male","2011",1370,
"Gisborne region","35-39 Years","Male","2012",1350,
"Gisborne region","35-39 Years","Male","2013",1270,
"Gisborne region","35-39 Years","Male","2014",1210,
"Gisborne region","35-39 Years","Female","2006",1650,
"Gisborne region","35-39 Years","Female","2007",1670,
"Gisborne region","35-39 Years","Female","2008",1640,
"Gisborne region","35-39 Years","Female","2009",1620,
"Gisborne region","35-39 Years","Female","2010",1580,
"Gisborne region","35-39 Years","Female","2011",1540,
"Gisborne region","35-39 Years","Female","2012",1470,
"Gisborne region","35-39 Years","Female","2013",1410,
"Gisborne region","35-39 Years","Female","2014",1420,
"Hawke's Bay region","35-39 Years","Male","2006",4940,
"Hawke's Bay region","35-39 Years","Male","2007",4940,
"Hawke's Bay region","35-39 Years","Male","2008",4930,
"Hawke's Bay region","35-39 Years","Male","2009",4840,
"Hawke's Bay region","35-39 Years","Male","2010",4690,
"Hawke's Bay region","35-39 Years","Male","2011",4550,
"Hawke's Bay region","35-39 Years","Male","2012",4390,
"Hawke's Bay region","35-39 Years","Male","2013",4200,
"Hawke's Bay region","35-39 Years","Male","2014",4020,
"Hawke's Bay region","35-39 Years","Female","2006",5430,
